original_job,new_job
it project manager consultant,it project manager
software project manager,it project manager
web project manager,it project manager
technology project manager,it project manager
it manager project manager,it project manager
it project manager contractor,it project manager
it project manager scrum master,it project manager
it project manager contract,it project manager
consultant it project manager,it project manager
applications development manager,it manager
manager technology,it manager
it transformation manager,it manager
it consultant,it consultant
business technology analyst,it business analyst
technical business analyst,it business analyst
it systems administrator,it administrator
information systems manager,information systems manager
hr technology analyst,human resources technology analyst
hr systems analyst,human resources systems analyst
hr specialist,human resources specialist
human resources consultant,human resources specialist
manager hr solutions,human resources solutions manager
hr solutions development analyst,human resources solutions analyst
hr manager,human resources manager
human resources supervisor,human resources manager
hr management consultant,human resources management consultant
hr generalist advisor,human resources generalist advisor
hr generalist,human resources generalist
director of human resources,human resources director
director human resources,human resources director
director of human resources and operations,human resources director
director of human resources administration,human resources director
director of human resources and administration,human resources director
hr consultant,human resources consultant
hr business partner manager,human resources business partner manager
hr business partner,human resources business partner
global hr business partner,human resources business partner
human resources administrative assistant,human resources assistant
hr analyst,human resources analyst
human resources assistant,human resources administrator
human resources coordinator,human resources administrator
human resources representative,human resources administrator
computer hardware engineer,hardware engineer
genetic counselor,genetics counselor
finance and hr systems engineer,finance and human resources systems engineer
engineer project manager,engineering project manager
engineer consultant,engineering consultant
engineering consultant,engineering consultant
it analyst,dit analyst
database administration manager,database manager
it database consultant,database consultant
database administration advisor,database advisor
sql server database administrator,database administrator
data warehouse administrator,database administrator
mysql database administrator,database administrator
oracle applications database administrator,database administrator
oracle database administrator,database administrator
sql database administrator,database administrator
applications database administrator,database administrator
associate database administrator,database administrator
big data administrator,database administrator
data base administrator,database administrator
database administrators,database administrator
database adminstrator,database administrator
database oracle administrator,database administrator
db2 database administrator,database administrator
hadoop administrator,database administrator
it database administrator,database administrator
oracle applications administrator,database administrator
oracle apps database administrator,database administrator
peoplesoft database administrator,database administrator
sql server administrator,database administrator
staff database administrator,database administrator
teradata database administrator,database administrator
database administrator engineer,database administrator
oracle database administrator consultant,database administrator
database administrator consultant,database administrator
sql server database administrator engineer,database administrator
software engineer database administrator,database administrator
database database administrator,database administrator
database administrator database administrator,database administrator
database engineer administrator,database administrator
oracle production support database administrator,database administrator
oracle engineer database administrator,database administrator
consultant oracle database administrator,database administrator
sql engineer database administrator,database administrator
sql server engineer database administrator,database administrator
contract oracle database administrator,database administrator
ms sql server database administrator,database administrator
oracle database administrator architect,database administrator
data analyst database administrator,database administrator
data architect database administrator,database administrator
engineer database administrator,database administrator
oracle sql server database administrator,database administrator
systems analyst database administrator,database administrator
database engineer database administrator,database administrator
database systems administrator,database administrator
database administrator programmer,database administrator
database technician,database administrator
development database administrator,database administrator
database administrator and engineer,database administrator
database administrator data analyst,database administrator
database administrator technologies,database administrator
data analytics specialist,data specialist
data warehouse specialist,data specialist
data warehousing specialist,data specialist
associate data scientist,data scientist
data science engineer,data scientist
data science,data scientist
data science fellow,data scientist
data science consultant,data scientist
machine learning engineer,data scientist
data scientist consultant,data scientist
data scientist data analyst,data scientist
machine learning,data scientist
data scientist machine learning engineer,data scientist
data science analyst,data scientist
chief data scientist,data scientist
data scientist analyst,data scientist
data scientist fellow,data scientist
director of data science,data scientist
oracle database engineer,data engineer
database engineering,data engineer
etl engineer,data engineer
oracle engineer,data engineer
big data engineer,data engineer
data software engineer,data engineer
